Student ID,Payment Date
SID1000,April 4
SID10000,April 16
SID10001,April 16
SID10002,April 6
SID10003,April 26
SID10004,April 2
SID10005,April 19
SID10006,April 23
SID10007,April 5
SID10008,April 23
SID10009,April 20
SID1001,April 4
SID10010,April 4
SID10011,April 26
SID10012,April 12
SID10013,April 11
SID10014,April 28
SID10015,April 25
SID10016,April 7
SID10017,April 24
SID10018,April 19
SID10019,April 5
SID1002,April 25
SID10020,April 17
SID10021,April 3
SID10022,April 22
SID10023,April 15
SID10024,April 23
SID10025,April 21
SID10026,April 7
SID10027,April 3
SID10028,April 5
SID10029,April 10
SID1003,April 20
SID10030,April 22
SID10031,April 21
SID10032,April 1
SID10033,April 26
SID10034,April 7
SID10035,April 15
SID10036,April 6
SID10037,April 16
SID10038,April 5
SID10039,April 22
SID1004,April 7
SID10040,April 4
SID10041,April 11
SID10042,April 15
SID10043,April 10
SID10044,April 9
SID10045,April 11
SID10046,April 22
SID10047,April 8
SID10048,April 16
SID10049,April 6
SID1005,April 21
SID10050,April 27
SID10051,April 4
SID10052,April 5
SID10053,April 13
SID10054,April 21
SID10055,April 27
SID10056,April 6
SID10057,April 22
SID10058,April 6
SID10059,April 9
SID1006,April 2
SID10060,April 27
SID10061,April 14
SID10062,April 11
SID10063,April 7
SID10064,April 17
SID10065,April 5
SID10066,April 5
SID10067,April 15
SID10068,April 9
SID10069,April 7
SID1007,April 1
SID10070,April 5
SID10071,April 5
SID10072,April 28
SID10073,April 3
SID10074,April 11
SID10075,April 14
SID10076,April 15
SID10077,April 24
SID10078,April 21
SID10079,April 26
SID1008,April 4
SID10080,April 21
SID10081,April 10
SID10082,April 19
SID10083,April 19
SID10084,April 22
SID10085,April 17
SID10086,April 1
SID10087,April 4
SID10088,April 26
SID10089,April 10
SID1009,April 5
SID10090,April 28
SID10091,April 5
SID10092,April 2
SID10093,April 11
SID10094,April 13
SID10095,April 23
SID10096,April 17
SID10097,April 8
SID10098,April 19
SID10099,April 21
SID1010,April 27
SID10100,April 28
SID10101,April 6
SID10102,April 27
SID10103,April 22
SID10104,April 13
SID10105,April 24
SID10106,April 22
SID10107,April 1
SID10108,April 9
SID10109,April 21
SID1011,April 21
SID10110,April 24
SID10111,April 4
SID10112,April 15
SID10113,April 4
SID10114,April 11
SID10115,April 23
SID10116,April 20
SID10117,April 6
SID10118,April 1
SID10119,April 2
SID1012,April 20
SID10120,April 1
SID10121,April 2
SID10122,April 23
SID10123,April 7
SID10124,April 25
SID10125,April 23
SID10126,April 27
SID10127,April 18
SID10128,April 6
SID10129,April 25
SID1013,April 10
SID10130,April 25
SID10131,April 15
SID10132,April 17
SID10133,April 7
SID10134,April 20
SID10135,April 8
SID10136,April 8
SID10137,April 25
SID10138,April 14
SID10139,April 18
SID1014,April 4
SID10140,April 19
SID10141,April 21
SID10142,April 1
SID10143,April 13
SID10144,April 23
SID10145,April 28
SID10146,April 16
SID10147,April 24
SID10148,April 19
SID10149,April 8
SID1015,April 15
SID10150,April 23
SID10151,April 19
SID10152,April 16
SID10153,April 21
SID10154,April 16
SID10155,April 11
SID10156,April 7
SID10157,April 16
SID10158,April 12
SID10159,April 17
SID1016,April 19
SID10160,April 2
SID10161,April 15
SID10162,April 26
SID10163,April 2
SID10164,April 23
SID10165,April 27
SID10166,April 26
SID10167,April 3
SID10168,April 4
SID10169,April 7
SID1017,April 17
SID10170,April 10
SID10171,April 12
SID10172,April 17
SID10173,April 13
SID10174,April 15
SID10175,April 13
SID10176,April 4
SID10177,April 16
SID10178,April 7
SID10179,April 8
SID1018,April 4
SID10180,April 28
SID10181,April 22
SID10182,April 13
SID10183,April 14
SID10184,April 26
SID10185,April 23
SID10186,April 19
SID10187,April 4
SID10188,April 7
SID10189,April 3
SID1019,April 13
SID10190,April 26
SID10191,April 13
SID10192,April 9
SID10193,April 16
SID10194,April 24
SID10195,April 15
SID10196,April 17
SID10197,April 18
SID10198,April 8
SID10199,April 4
SID1020,April 20
SID10200,April 1
SID10201,April 6
SID10202,April 2
SID10203,April 10
SID10204,April 9
SID10205,April 8
SID10206,April 15
SID10207,April 8
SID10208,April 15
SID10209,April 27
SID1021,April 28
SID10210,April 12
SID10211,April 8
SID10212,April 3
SID10213,April 11
SID10214,April 6
SID10215,April 20
SID10216,April 14
SID10217,April 15
SID10218,April 24
SID10219,April 27
SID1022,April 1
SID10220,April 13
SID10221,April 6
SID10222,April 11
SID10223,April 10
SID10224,April 13
SID10225,April 9
SID10226,April 25
SID10227,April 25
SID10228,April 21
SID10229,April 11
SID1023,April 15
SID10230,April 14
SID10231,April 20
SID10232,April 27
SID10233,April 13
SID10234,April 28
SID10235,April 24
SID10236,April 27
SID10237,April 10
SID10238,April 1
SID10239,April 21
SID1024,April 11
SID10240,April 24
SID10241,April 13
SID10242,April 10
SID10243,April 10
SID10244,April 23
SID10245,April 5
SID10246,April 14
SID10247,April 3
SID10248,April 6
SID10249,April 27
SID1025,April 6
SID10250,April 11
SID10251,April 27
SID10252,April 13
SID10253,April 26
SID10254,April 24
SID10255,April 21
SID10256,April 16
SID10257,April 22
SID10258,April 16
SID10259,April 9
SID1026,April 1
SID10260,April 6
SID10261,April 28
SID10262,April 1
SID10263,April 2
SID10264,April 13
SID10265,April 28
SID10266,April 28
SID10267,April 8
SID10268,April 24
SID10269,April 5
SID1027,April 1
SID10270,April 9
SID10271,April 12
SID10272,April 21
SID10273,April 25
SID10274,April 1
SID10275,April 10
SID10276,April 21
SID10277,April 27
SID10278,April 21
SID10279,April 3
SID1028,April 23
SID10280,April 5
SID10281,April 11
SID10282,April 18
SID10283,April 10
SID10284,April 17
SID10285,April 26
SID10286,April 7
SID10287,April 25
SID10288,April 2
SID10289,April 14
SID1029,April 8
SID10290,April 16
SID10291,April 2
SID10292,April 25
SID10293,April 22
SID10294,April 25
SID10295,April 25
SID10296,April 13
SID10297,April 15
SID10298,April 25
SID10299,April 18
SID1030,April 20
SID10300,April 23
SID10301,April 25
SID10302,April 2
SID10303,April 22
SID10304,April 2
SID10305,April 27
SID10306,April 9
SID10307,April 19
SID10308,April 19
SID10309,April 6
SID1031,April 19
SID10310,April 22
SID10311,April 6
SID10312,April 24
SID10313,April 21
SID10314,April 2
SID10315,April 22
SID10316,April 24
SID10317,April 21
SID10318,April 1
SID10319,April 12
SID1032,April 15
SID10320,April 22
SID10321,April 18
SID10322,April 14
SID10323,April 28
SID10324,April 17
SID10325,April 28
SID10326,April 17
SID10327,April 7
SID10328,April 9
SID10329,April 1
SID1033,April 20
SID10330,April 5
SID10331,April 9
SID10332,April 15
SID10333,April 17
SID10334,April 7
SID10335,April 22
SID10336,April 22
SID10337,April 25
SID10338,April 1
SID10339,April 7
SID1034,April 24
SID10340,April 25
SID10341,April 14
SID10342,April 19
SID10343,April 26
SID10344,April 19
SID10345,April 2
SID10346,April 7
SID10347,April 25
SID10348,April 6
SID10349,April 1
SID1035,April 10
SID10350,April 20
SID10351,April 20
SID10352,April 8
SID10353,April 14
SID10354,April 5
SID10355,April 23
SID10356,April 4
SID10357,April 3
SID10358,April 16
SID10359,April 13
SID1036,April 4
SID10360,April 8
SID10361,April 19
SID10362,April 11
SID10363,April 4
SID10364,April 28
SID10365,April 12
SID10366,April 22
SID10367,April 28
SID10368,April 9
SID10369,April 19
SID1037,April 26
SID10370,April 27
SID10371,April 19
SID10372,April 3
SID10373,April 3
SID10374,April 11
SID10375,April 21
SID10376,April 12
SID10377,April 11
SID10378,April 20
SID10379,April 3
SID1038,April 17
SID10380,April 21
SID10381,April 6
